search_term,status,campaign_name,ad_group_name,impressions,clicks,ctr,cost,conversions,cost_per_conversion
colonoscopia cancún precio,NONE,Colonoscopia,Colonoscopy - Pricing,6,2,0.3333,97.92,0,
colonoscopia como se hace,NONE,Colon Max Conversions,Colonoscopy - Core,4,1,0.25,97.91,0,
colon por enema o colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,1,2,2,97.38,0,
endoscopía salud digna precio,NONE,Endoscopia,Endoscopy Prices,4,2,0.5,94.95,0,
colonoscopia y,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,94.29,0,
costo de colonoscopia en chopo,NONE,Colonoscopia,Colonoscopy - Pricing,3,2,0.6667,94.28,0,
cuanto cuesta una colonoscopia en salud digna,NONE,Colon Max Conversions,Colonoscopy - Pricing,2,2,1,94.18,0,
centro de endoscopia,NONE,Endoscopia,Endoscopy - Core,25,3,0.12,92.22,0,
para que sirve la colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,25,2,0.08,91.73,1,91.73
operar hemorroides,NONE,Hemorroides,Hemorroides - Core,1,1,1,90.88,0,
endoscopia de garganta precio,NONE,Endoscopia,Endoscopy Prices,10,2,0.2,90.72,0,
en salud digna hacen endoscopia,NONE,Endoscopia,Endoscopy - Core,23,2,0.087,90.7,0,
colonoscopia merida,ADDED,Colon Max Conversions,Colonoscopy - Core,18,5,0.2778,90.43,1.9978,45.27
estudio de cpre,NONE,CPRE,CPRE - Core,4,2,0.5,90.18,0,
salud digna hacen endoscopias,NONE,Endoscopia,Endoscopy - Core,2,2,1,90.1,0,
tecnica de cpre,NONE,CPRE,CPRE - Core,3,1,0.3333,89.48,0,
gastroscopia precio,NONE,Endoscopia,Endoscopy Prices,9,3,0.3333,89.41,0,
en salud digna hacen endoscopia digestiva,NONE,Endoscopia,Endoscopy - Core,4,4,1,88.7,0,
en donde hacen endoscopia,NONE,Endoscopia,Endoscopy - Core,5,2,0.4,88.64,0,
costo de una colonoscopía en salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,5,2,0.4,88.38,0,
que significa endoscopia,NONE,Endoscopia,Endoscopy - Core,7,2,0.2857,88.38,0,
precio colonoscopia salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,19,4,0.2105,87.66,0,
colonoscopia en villahermosa,NONE,Colonoscopia,Colonoscopy - Core,1,2,2,87.44,0,
tipos de endoscopia,NONE,Endoscopia,Endoscopy - Core,21,2,0.0952,86.64,0,
costo de colonoscopia,ADDED,Colon Max Conversions,Colonoscopy - Pricing,6,2,0.3333,86.12,0,
precio de colonoscopia en salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,7,3,0.4286,85.97,0,
la endoscopia,NONE,Endoscopia,Endoscopy - Core,7,2,0.2857,85.62,0,
para que sirve una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,14,2,0.1429,85.52,0,
que costo tiene una endoscopia,NONE,Endoscopia,Endoscopy Prices,4,2,0.5,85.3,0,
colonoscopia costo,NONE,Colonoscopia,Colonoscopy - Pricing,21,4,0.1905,85.06,0,
por qué se hace una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,83.79,0,
cuanto cuesta una colonoscopia con biopsia,NONE,Colonoscopia,Colonoscopy - Pricing,5,3,0.6,83.54,0,
colonoscopia como se realiza,NONE,Colonoscopia,Colonoscopy - Core,7,2,0.2857,83.38,1,83.38
colonoscopia star medica,NONE,Colonoscopia,Colonoscopy - Core,9,3,0.3333,83.36,0,
costo de una colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,20,4,0.2,83.22,0,
que es una colonoscopia y como se realiza,NONE,Colonoscopia,Colonoscopy - Core,13,3,0.2308,82.98,0,
endoscopía para que sirve,NONE,Endoscopia,Endoscopy - Core,3,2,0.6667,82.62,0,
las varices esofágicas desaparecen,NONE,Ligadura Esofagica,Ligadura Esofagica,6,1,0.1667,82.3,0,
precio de la colonoscopia en salud digna,NONE,Colon Max Conversions,Colonoscopy - Pricing,2,3,1.5,82.25,2,41.12
colonoscopia en merida,NONE,Colonoscopia,Colonoscopy - Pricing,19,7,0.3684,81.34,1.4154,57.47
clinica endoscopia,NONE,Endoscopia,Endoscopy - Core,15,3,0.2,80.7,1,80.7
cuanto cuesta una panendoscopia,NONE,Endoscopia,Endoscopy Prices,6,2,0.3333,80.43,0,
cuanto cuesta la colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Pricing,3,1,0.3333,79.81,0,
colangiopancreatografia retrógrada endoscopica,NONE,CPRE,CPRE - Core,3,1,0.3333,79.58,0,
varice esofagica,NONE,Ligadura Esofagica,Ligadura Esofagica,4,1,0.25,79.21,0,
costo aproximado de una colonoscopia,NONE,Colon Max Conversions,Colonoscopy - Pricing,2,1,0.5,79.12,0,
what is cpre,NONE,CPRE,CPRE - Core,1,1,1,78.68,0,
endoscopia precio mérida,ADDED,Endoscopia,Endoscopy Prices,8,2,0.25,78.45,0,
es peligroso una endoscopia,NONE,Endoscopia,Endoscopy - Core,14,2,0.1429,78.36,0,
qué es una colonoscopia y para qué sirve,NONE,Colonoscopia,Colonoscopy - Core,1,2,2,78.16,0,
ligas esofagicas,NONE,Ligadura Esofagica,Ligadura Esofagica,4,1,0.25,78.11,0,
endoscopia precio en salud digna,NONE,Endoscopia,Endoscopy Prices,6,2,0.3333,78.07,0,
colonoscopia precio merida,ADDED,Colonoscopia,Colonoscopy - Pricing,8,2,0.25,77.96,0,
cuánto sale una endoscopia,NONE,Endoscopia,Endoscopy Prices,5,2,0.4,77.83,0,
centro endoscopico merida,NONE,Endoscopia,Endoscopy - Core,6,2,0.3333,77.63,1,77.63
en que consiste una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,2,1,0.5,77.6,0,
biopsia de endoscopia,NONE,Endoscopia,Endoscopy - Core,6,2,0.3333,77.46,0,
que es una endoscopia precio,NONE,Endoscopia,Endoscopy Prices,5,3,0.6,77.33,0,
varices en el esófago,NONE,Ligadura Esofagica,Ligadura Esofagica,4,1,0.25,77.09,0,
varices esofágicas tiene cura,NONE,Ligadura Esofagica,Ligadura Esofagica,2,1,0.5,76.69,0,
donde hacen endoscopia,NONE,Endoscopia,Endoscopy - Core,5,4,0.8,76.61,0,
nuevo metodo de colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,2,2,1,75.88,0,
precio de una colonoscopia en salud digna,NONE,Colon Max Conversions,Colonoscopy - Pricing,5,2,0.4,75.43,0,
precio de endoscopia en similares,NONE,Endoscopia,Endoscopy Prices,8,2,0.25,75.42,0,
cirugías de hemorroides,NONE,Hemorroides,Hemorroides - Core,4,2,0.5,75.1,0,
cirugía por hemorroides,NONE,Hemorroides,Hemorroides - Core,15,1,0.0667,75.03,0,
que es un endoscopia,NONE,Endoscopia,Endoscopy - Core,6,2,0.3333,74.71,0,
endoscopia como se hace el estudio,NONE,Endoscopia,Endoscopy - Core,3,2,0.6667,74.55,0,
endoscopia diagnostica precio,NONE,Endoscopia,Endoscopy Prices,3,2,0.6667,74.34,0,
cuál es el precio de una endoscopia,NONE,Endoscopia,Endoscopy Prices,6,2,0.3333,74.26,0,
endoscopia gastrointestinal superior,NONE,Endoscopia,Endoscopy - Core,4,2,0.5,73.97,0,
colonoscopia virtual precio,NONE,Colonoscopia,Colonoscopy - Pricing,8,1,0.125,73.77,0,
endoscopia costos,NONE,Endoscopia,Endoscopy Prices,8,2,0.25,73.51,2,36.76
endoscopia con biopsia precio,NONE,Endoscopia,Endoscopy Prices,4,2,0.5,73.35,1,73.35
salud digna hace endoscopia,NONE,Endoscopia,Endoscopy - Core,17,2,0.1176,73.23,2,36.62
colonoscopia y endoscopia,NONE,Colon Max Conversions,Colonoscopy - Core,4,1,0.25,72.84,0,
estudio de colonoscopia,ADDED,Colon Max Conversions,Colonoscopy - Core,4,1,0.25,72.81,0,
que es la endoscopia y para que sirve,NONE,Endoscopia,Endoscopy - Core,48,2,0.0417,72.71,0,
estudios de endoscopia precio,NONE,Endoscopia,Endoscopy Prices,3,2,0.6667,72.53,0,
cuánto cuesta la endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,2,2,1,72.27,0,
hacen colonoscopia en salud digna,NONE,Colonoscopia,Colonoscopy - Core,5,2,0.4,71.41,0,
precio endoscopia en salud digna,NONE,Endoscopia,Endoscopy Prices,2,2,1,70.8,0,
estudio del colon como se llama,NONE,Colon Max Conversions,Colonoscopy - Core,4,1,0.25,70.74,0,
como se hace una colonoscopia y para que sirve,NONE,Colonoscopia,Colonoscopy - Core,8,1,0.125,70.67,0,
estudio del estomago endoscopia,NONE,Endoscopia,Endoscopy - Core,4,1,0.25,69.9,0,
cuánto dura una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,6,1,0.1667,69.42,0,
ligador de varices esofagicas,NONE,Ligadura Esofagica,Ligadura Esofagica,4,1,0.25,69.27,0,
que es el colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,3,1,0.3333,69.17,0,
procedimiento endoscopia,NONE,Endoscopia,Endoscopy - Core,4,1,0.25,68.93,0,
cuanto sale una colonoscopia,NONE,Colonoscopia,Colonoscopy - Pricing,4,2,0.5,68.9,0,
colonoscopia real,NONE,Colonoscopia,Colonoscopy - Core,1,2,2,68.71,0,
precio endoscopia nasal,NONE,Endoscopia,Endoscopy Prices,5,1,0.2,68.52,0,
como se hace un estudio de colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,2,2,1,68.38,0,
várices esofágicas tratamiento,NONE,Ligadura Esofagica,Ligadura Esofagica,6,1,0.1667,68.36,0,
estudio para el estómago,NONE,Endoscopia,Endoscopy - Core,1,2,2,67.82,0,
cirugía cpre,NONE,CPRE,CPRE - Core,2,1,0.5,67.8,0,
como se hace una colonoscopia video,NONE,Colon Max Conversions,Colonoscopy - Core,2,1,0.5,67.76,0,
que es una panendoscopia,NONE,Endoscopia,Endoscopy - Core,37,2,0.0541,67.06,0,
estudios del colon como se llama,NONE,Colonoscopia,Colonoscopy - Core,3,2,0.6667,67.05,0,
en salud digna hacen colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,11,2,0.1818,66.92,0,
jm endoscopia merida,NONE,Endoscopia,Endoscopy - Core,4,2,0.5,66.58,0,
varices del estomago,NONE,Ligadura Esofagica,Ligadura Esofagica,2,1,0.5,65.96,0,
colonoscopia cómo se hace,NONE,Colon Max Conversions,Colonoscopy - Core,2,1,0.5,65.74,0,
cuánto cuesta un estudio de colonoscopia en salud digna,NONE,Colonoscopia,Colonoscopy - Pricing,2,2,1,65.58,0,
endoscopía y colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,3,1,0.3333,65.26,0,
precio endoscopia y colonoscopia,NONE,Endoscopia,Endoscopy Prices,1,1,1,64.87,0,
me van a hacer una colonoscopia,NONE,Colonoscopia,Colonoscopy - Core,1,1,1,64.54,0,
colonoscopia que precio tiene,NONE,Colon Max Conversions,Colonoscopy - Pricing,2,2,1,64.22,0,
cómo es la colonoscopia en mujeres,NONE,Colonoscopia,Colonoscopy - Core,1,2,2,64.2,0,
como se llama cuando te meten una camara por la boca,NONE,Endoscopia,Endoscopy - Core,1,1,1,63.95,0,
colonoscopia procedimiento,NONE,Colonoscopia,Colonoscopy - Core,3,1,0.3333,63.35,0,
