code,gclid,fbclid,utm_source,utm_medium,utm_campaign,utm_term,service,page_path,created
EDM-DYYW3S,CjwKCAjw0o3SBhBVEiwAh28-jbeT9c5aW3krOCrXx27inMAk1kuGuCgsIKBkzX7qVTjc5LwSdEHHhhoCxi4QAvD_BwE,,,,,,global,/endoscopia-merida,2026-06-30T18:47:00.914Z
EDM-9ZKWG2,CjwKCAjw0o3SBhBVEiwAh28-jZEOh8fJWKgRkDH6DUEG6gNmtEFD3hzYznHDX8Fpq7IF_XvBle49bRoCReQQAvD_BwE,,,,,,endoscopia,/endoscopia-merida,2026-06-30T16:13:23.449Z
EDM-WGL8Q8,,,,,,,resección endoscópica mucosa (EMR),/reseccion-endoscopica-mucosa-emr-merida,2026-06-30T15:19:04.572Z
EDM-UHGEQD,CjwKCAjw0o3SBhBVEiwAh28-jSHKhIEXSgrlye96ZLRc406VcIuvwZjGNFKl3bNYk3uIRjNQtuY91BoC81sQAvD_BwE,,,,,,global,/colonoscopia-merida,2026-06-30T14:14:48.231Z
EDM-89T428,CjwKCAjw0o3SBhBVEiwAh28-jSHKhIEXSgrlye96ZLRc406VcIuvwZjGNFKl3bNYk3uIRjNQtuY91BoC81sQAvD_BwE,,,,,,colonoscopia,/colonoscopia-merida,2026-06-30T14:13:53.554Z
EDM-RL3N74,,,,,,,global,/reseccion-endoscopica-mucosa-emr-merida,2026-06-30T02:38:12.717Z
EDM-QQ83P7,,,,,,,resección endoscópica mucosa (EMR),/reseccion-endoscopica-mucosa-emr-merida,2026-06-30T02:26:51.110Z
EDM-8S6U28,Cj0KCQjwr4jSBhCSARIsAOX1E-KJhUi-9HZ_suRakjRDqQhYZ4x3SeSaY0Nk5zbgkWDvhA4D0-EkGi4aAp4_EALw_wcB,,,,,,endoscopia,/endoscopia-merida,2026-06-30T02:22:09.739Z
EDM-52M5KC,Cj0KCQjwr4jSBhCSARIsAOX1E-LYM4OR95HseN8mmiGnD5tN7g9L0cIqoeJHrSn9qAPoR9rt7Al1NQ0aAscnEALw_wcB,,,,,,contacto,/contacto,2026-06-30T01:24:49.407Z
EDM-5SU6NF,Cj0KCQjwr4jSBhCSARIsAOX1E-LNiLboSYob-3FHvntIxrdOp5LgfOCjeunLOEnzoog5_jlgDI3mYCYaAm53EALw_wcB,,,,,,global,/endoscopia-merida,2026-06-29T18:52:17.810Z
EDM-DFMC2Q,Cj0KCQjwr4jSBhCSARIsAOX1E-IUJfNfnKCPG5WKQLBUYJvbLmOS61DW2G_9w5GJF8-bl4c8ABLpmRAaAvWIEALw_wcB,,,,,,colonoscopia,/colonoscopia-merida,2026-06-29T18:23:35.160Z
EDM-A9DRJE,Cj0KCQjwr4jSBhCSARIsAOX1E-JpElCvuRV_SWZAMQ45AAj7rXgyVWYfNvIpFuqm_taYZIzsxwslbRIaAiCwEALw_wcB,,,,,,colonoscopia,/precios,2026-06-29T18:19:10.697Z
EDM-7VWTDW,CjwKCAjwxb7RBhA5EiwAQ-AAdO9yulKDAYTyVHVoCbZiryzhVpPuNyHzhUEzIj9RQt8-MMsTlU-8eBoCwNoQAvD_BwE,,chatgpt.com,,,,colonoscopia,/colonoscopia-merida,2026-06-29T13:15:47.434Z
EDM-LUBHB6,,,,,,,homepage,/,2026-06-28T04:06:15.962Z
EDM-PKSSE4,,,,,,,global,/colonoscopia-merida,2026-06-28T04:05:47.033Z
EDM-K3RD2E,CjwKCAjw6f3RBhApEiwAMaCqWYvJYQlFqirO7JClHoMrwQm9WoEWx59t1jDCLuxKm42yWA_gWcqEYhoCCFkQAvD_BwE,,,,,,CPRE,/cpre-merida,2026-06-27T22:51:26.596Z
EDM-KSK98F,CjwKCAjw3ejRBhAdEiwADkqPn7-9IiLF-e_5MJ8XqHYZwMAwO2ChJXOAUokogBCGgWwRSU7ihRbnbxoCRIcQAvD_BwE,,,,,,global,/,2026-06-27T01:05:35.867Z
EDM-E268B2,CjwKCAjw3ejRBhAdEiwADkqPn7-9IiLF-e_5MJ8XqHYZwMAwO2ChJXOAUokogBCGgWwRSU7ihRbnbxoCRIcQAvD_BwE,,,,,,global,/,2026-06-27T00:58:03.000Z
EDM-B7GZG2,CjwKCAjw3ejRBhAdEiwADkqPn7-9IiLF-e_5MJ8XqHYZwMAwO2ChJXOAUokogBCGgWwRSU7ihRbnbxoCRIcQAvD_BwE,,,,,,global,/colonoscopia-merida,2026-06-27T00:51:26.981Z
EDM-MV8QCM,CjwKCAjw3ejRBhAdEiwADkqPn7-9IiLF-e_5MJ8XqHYZwMAwO2ChJXOAUokogBCGgWwRSU7ihRbnbxoCRIcQAvD_BwE,,,,,,global,/colonoscopia-merida,2026-06-27T00:51:05.215Z
EDM-DS4RB3,CjwKCAjw3ejRBhAdEiwADkqPn7-9IiLF-e_5MJ8XqHYZwMAwO2ChJXOAUokogBCGgWwRSU7ihRbnbxoCRIcQAvD_BwE,,,,,,colonoscopia,/colonoscopia-merida,2026-06-27T00:39:20.727Z
EDM-9K5LY3,CjwKCAjw3ejRBhAdEiwADkqPn7-9IiLF-e_5MJ8XqHYZwMAwO2ChJXOAUokogBCGgWwRSU7ihRbnbxoCRIcQAvD_BwE,,,,,,colonoscopia,/colonoscopia-merida,2026-06-27T00:38:40.136Z
